"order_id","order_status_id","user_id","status"
37385,2,35062,ORDER_CONFIRMED
37386,2,35128,ORDER_CONFIRMED
37386,10,35130,ORDER_ACCEPTED
37387,2,35062,ORDER_CONFIRMED
37388,2,35062,ORDER_CONFIRMED
37389,2,35128,ORDER_CONFIRMED
37389,10,35130,ORDER_ACCEPTED
37389,6,35128,ADMIN_CANCELED
37390,2,35112,ORDER_CONFIRMED
37391,1,35129,ORDER_CREATE
37391,2,35129,ORDER_CONFIRMED
37392,1,35117,ORDER_CREATE
37392,2,35117,ORDER_CONFIRMED
37392,5,35117,BORROWER_CANCELED
37393,1,35117,ORDER_CREATE
37393,2,35117,ORDER_CONFIRMED
37393,10,35095,ORDER_ACCEPTED
37393,5,35117,BORROWER_CANCELED
37394,2,35062,ORDER_CONFIRMED
37394,6,35062,ADMIN_CANCELED
37395,2,35062,ORDER_CONFIRMED
37395,10,35095,ORDER_ACCEPTED
37395,6,35062,ADMIN_CANCELED
37396,1,35117,ORDER_CREATE
37396,2,35117,ORDER_CONFIRMED
37396,10,35095,ORDER_ACCEPTED
37397,1,35117,ORDER_CREATE
37397,2,35117,ORDER_CONFIRMED
37398,1,35094,ORDER_CREATE
37398,2,35094,ORDER_CONFIRMED
37398,10,0,ORDER_ACCEPTED
37399,1,35117,ORDER_CREATE
37399,2,35117,ORDER_CONFIRMED
37399,6,0,ADMIN_CANCELED
37400,1,35129,ORDER_CREATE
37400,2,35129,ORDER_CONFIRMED
37400,10,35128,ORDER_ACCEPTED
37401,1,35129,ORDER_CREATE
37401,2,35129,ORDER_CONFIRMED
37401,10,35133,ORDER_ACCEPTED
37402,1,35129,ORDER_CREATE
37402,2,35129,ORDER_CONFIRMED
37402,10,35130,ORDER_ACCEPTED
37403,1,35129,ORDER_CREATE
37403,2,35129,ORDER_CONFIRMED
37403,6,0,ADMIN_CANCELED
37404,1,35129,ORDER_CREATE
37404,2,35129,ORDER_CONFIRMED
37404,10,35130,ORDER_ACCEPTED
37405,1,35129,ORDER_CREATE
37405,2,35129,ORDER_CONFIRMED
37405,10,35128,ORDER_ACCEPTED
37406,1,35129,ORDER_CREATE
37406,2,35129,ORDER_CONFIRMED
37407,1,35129,ORDER_CREATE
37407,2,35129,ORDER_CONFIRMED
37406,5,35129,BORROWER_CANCELED
37407,10,35130,ORDER_ACCEPTED
37407,5,35129,BORROWER_CANCELED
37408,1,35129,ORDER_CREATE
37408,2,35129,ORDER_CONFIRMED
37409,1,35129,ORDER_CREATE
37409,2,35129,ORDER_CONFIRMED
37410,1,35109,ORDER_CREATE
37410,2,35109,ORDER_CONFIRMED
37409,10,35133,ORDER_ACCEPTED
37410,6,0,ADMIN_CANCELED
37411,2,35112,ORDER_CONFIRMED
37412,1,35129,ORDER_CREATE
37412,2,35129,ORDER_CONFIRMED
37411,6,0,ADMIN_CANCELED
37413,2,35112,ORDER_CONFIRMED
37412,6,35128,ADMIN_CANCELED
37414,1,35117,ORDER_CREATE
37414,2,35117,ORDER_CONFIRMED
37415,2,35112,ORDER_CONFIRMED
37415,10,35112,ORDER_ACCEPTED
37416,1,35129,ORDER_CREATE
37416,2,35129,ORDER_CONFIRMED
37414,6,0,ADMIN_CANCELED
37416,10,35133,ORDER_ACCEPTED
37417,1,35117,ORDER_CREATE
37417,2,35117,ORDER_CONFIRMED
37416,6,35128,ADMIN_CANCELED
37418,2,35112,ORDER_CONFIRMED
37417,6,0,ADMIN_CANCELED
37418,10,35111,ORDER_ACCEPTED
37419,1,35129,ORDER_CREATE
37419,2,35129,ORDER_CONFIRMED
37413,6,0,ADMIN_CANCELED
37419,6,0,ADMIN_CANCELED
37420,2,35112,ORDER_CONFIRMED
37421,1,35129,ORDER_CREATE
37421,2,35129,ORDER_CONFIRMED
37420,10,35132,ORDER_ACCEPTED
37421,10,35133,ORDER_ACCEPTED
37422,2,35112,ORDER_CONFIRMED
37423,1,35129,ORDER_CREATE
37423,2,35129,ORDER_CONFIRMED
37422,6,35112,ADMIN_CANCELED
37424,2,35112,ORDER_CONFIRMED
37424,10,35111,ORDER_ACCEPTED
37425,1,35129,ORDER_CREATE
37425,2,35129,ORDER_CONFIRMED
